drivers/pcmcia/electra_cf.c:electra-cf
drivers/perf/fsl_imx8_ddr_perf.c:fsl,imx8dxl-ddr-pmu
drivers/reset/reset-pistachio.c:img,pistachio-reset
drivers/reset/reset-rzg2l-usbphy-ctrl.c:renesas,rzg2l-usbphy-ctrl
drivers/perf/arm_v7_pmu.c:arm,cortex-a17-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a15-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a12-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a9-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a8-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a7-pmu
drivers/perf/arm_v7_pmu.c:arm,cortex-a5-pmu
drivers/perf/arm_v7_pmu.c:qcom,krait-pmu
drivers/perf/arm_v7_pmu.c:qcom,scorpion-pmu
drivers/perf/arm_v7_pmu.c:qcom,scorpion-mp-pmu
drivers/nfc/trf7970a.c:ti,trf7970a
drivers/reset/reset-eyeq.c:mobileye,eyeq5-olb
drivers/reset/reset-eyeq.c:mobileye,eyeq6l-olb
drivers/reset/reset-eyeq.c:mobileye,eyeq6h-west-olb
drivers/reset/reset-eyeq.c:mobileye,eyeq6h-east-olb
drivers/reset/reset-eyeq.c:mobileye,eyeq6h-acc-olb
drivers/cpuidle/cpuidle-qcom-spm.c:qcom,idle-state-spc
drivers/pinctrl/pinctrl-keembay.c:intel,keembay-pinctrl
drivers/pinctrl/renesas/pinctrl-rzv2m.c:renesas,r9a09g011-pinctrl
drivers/pinctrl/pinctrl-pistachio.c:img,pistachio-system-pinctrl
drivers/pinctrl/renesas/pinctrl-rza2.c:renesas,r7s9210-pinctrl
drivers/pinctrl/renesas/pinctrl-rza1.c:renesas,r7s72100-ports
drivers/pinctrl/renesas/pinctrl-rza1.c:renesas,r7s72102-ports
drivers/pinctrl/mvebu/pinctrl-armada-ap806.c:marvell,ap806-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-39x.c:marvell,mv88f6920-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-39x.c:marvell,mv88f6925-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-39x.c:marvell,mv88f6928-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-375.c:marvell,mv88f6720-pinctrl
drivers/pinctrl/mvebu/pinctrl-orion.c:marvell,88f5181-pinctrl
drivers/pinctrl/mvebu/pinctrl-orion.c:marvell,88f5181l-pinctrl
drivers/pinctrl/mvebu/pinctrl-orion.c:marvell,88f5182-pinctrl
drivers/pinctrl/mvebu/pinctrl-orion.c:marvell,88f5281-pinctrl
drivers/pinctrl/mvebu/pinctrl-ac5.c:marvell,ac5-pinctrl
drivers/pinctrl/mvebu/pinctrl-dove.c:marvell,dove-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-37xx.c:marvell,armada3710-sb-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-37xx.c:marvell,armada3710-nb-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,mv78230-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,mv78260-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,mv78460-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,98dx3236-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-xp.c:marvell,98dx4251-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-370.c:marvell,mv88f6710-pinctrl
drivers/pinctrl/renesas/pinctrl-rzn1.c:renesas,rzn1-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-cp110.c:marvell,armada-7k-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-cp110.c:marvell,armada-8k-cpm-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-cp110.c:marvell,armada-8k-cps-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-cp110.c:marvell,cp115-standalone-pinctrl
drivers/pinctrl/mvebu/pinctrl-kirkwood.c:marvell,88f6180-pinctrl
drivers/pinctrl/mvebu/pinctrl-kirkwood.c:marvell,88f6190-pinctrl
drivers/pinctrl/mvebu/pinctrl-kirkwood.c:marvell,88f6192-pinctrl
drivers/pinctrl/mvebu/pinctrl-kirkwood.c:marvell,88f6281-pinctrl
drivers/pinctrl/mvebu/pinctrl-kirkwood.c:marvell,88f6282-pinctrl
drivers/pinctrl/mvebu/pinctrl-kirkwood.c:marvell,98dx4122-pinctrl
drivers/pinctrl/mvebu/pinctrl-kirkwood.c:marvell,98dx1135-pinctrl
drivers/pinctrl/renesas/pinctrl-rzg2l.c:renesas,r9a07g043-pinctrl
drivers/pinctrl/renesas/pinctrl-rzg2l.c:renesas,r9a07g044-pinctrl
drivers/pinctrl/renesas/pinctrl-rzg2l.c:renesas,r9a08g045-pinctrl
drivers/pinctrl/renesas/pinctrl-rzg2l.c:renesas,r9a09g047-pinctrl
drivers/pinctrl/renesas/pinctrl-rzg2l.c:renesas,r9a09g057-pinctrl
drivers/pinctrl/pxa/pinctrl-pxa25x.c:marvell,pxa25x-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-38x.c:marvell,mv88f6810-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-38x.c:marvell,mv88f6820-pinctrl
drivers/pinctrl/mvebu/pinctrl-armada-38x.c:marvell,mv88f6828-pinctrl
drivers/pinctrl/pxa/pinctrl-pxa27x.c:marvell,pxa27x-pinctrl
drivers/pinctrl/pinctrl-gemini.c:cortina,gemini-pinctrl
drivers/pinctrl/pinctrl-at91.c:atmel,sama5d3-pinctrl
drivers/pinctrl/pinctrl-at91.c:atmel,at91sam9x5-pinctrl
drivers/pinctrl/pinctrl-at91.c:atmel,at91rm9200-pinctrl
drivers/pinctrl/pinctrl-at91.c:microchip,sam9x60-pinctrl
drivers/pinctrl/pinctrl-at91.c:atmel,at91sam9x5-gpio
drivers/pinctrl/pinctrl-at91.c:atmel,at91rm9200-gpio
drivers/pinctrl/pinctrl-at91.c:microchip,sam9x60-gpio
drivers/pinctrl/nuvoton/pinctrl-wpcm450.c:nuvoton,wpcm450-pinctrl
drivers/pinctrl/nuvoton/pinctrl-npcm7xx.c:nuvoton,npcm750-pinctrl
drivers/pinctrl/sprd/pinctrl-sprd-sc9860.c:sprd,sc9860-pinctrl
drivers/pinctrl/pinctrl-da850-pupd.c:ti,da850-pupd
drivers/pinctrl/pinctrl-mcp23s08_i2c.c:microchip,mcp23008
drivers/pinctrl/pinctrl-mcp23s08_i2c.c:microchip,mcp23017
drivers/pinctrl/pinctrl-mcp23s08_i2c.c:microchip,mcp23018
drivers/pinctrl/pinctrl-mcp23s08_i2c.c:mcp,mcp23008
drivers/pinctrl/pinctrl-mcp23s08_i2c.c:mcp,mcp23017
drivers/pinctrl/nuvoton/pinctrl-ma35d1.c:nuvoton,ma35d1-pinctrl
drivers/pinctrl/nuvoton/pinctrl-npcm8xx.c:nuvoton,npcm845-pinctrl
drivers/cpuidle/cpuidle-big_little.c:arm,idle-state
drivers/cpuidle/cpuidle-big_little.c:arm,vexpress,v2p-ca15_a7
drivers/cpuidle/cpuidle-big_little.c:google,peach
drivers/pinctrl/stm32/pinctrl-stm32f769.c:st,stm32f769-pinctrl
drivers/pinctrl/stm32/pinctrl-stm32mp135.c:st,stm32mp135-pinctrl
drivers/cpuidle/cpuidle-riscv-sbi.c:riscv,idle-state
drivers/pinctrl/stm32/pinctrl-stm32f429.c:st,stm32f429-pinctrl
drivers/pinctrl/stm32/pinctrl-stm32mp157.c:st,stm32mp157-pinctrl
drivers/pinctrl/stm32/pinctrl-stm32mp157.c:st,stm32mp157-z-pinctrl
drivers/pinctrl/berlin/berlin-bg2q.c:marvell,berlin2q-soc-pinctrl
drivers/pinctrl/berlin/berlin-bg2q.c:marvell,berlin2q-system-pinctrl
drivers/pinctrl/stm32/pinctrl-stm32h743.c:st,stm32h743-pinctrl
drivers/pinctrl/stm32/pinctrl-stm32f746.c:st,stm32f746-pinctrl
drivers/pinctrl/samsung/pinctrl-s3c64xx.c:samsung,s3c64xx-wakeup-eint
drivers/pinctrl/berlin/pinctrl-as370.c:syna,as370-soc-pinctrl
drivers/pinctrl/uniphier/pinctrl-uniphier-ld4.c:socionext,uniphier-ld4-pinctrl
drivers/pinctrl/berlin/berlin-bg2cd.c:marvell,berlin2cd-soc-pinctrl
drivers/pinctrl/berlin/berlin-bg2cd.c:marvell,berlin2cd-system-pinctrl
