drivers/ufs/ti-j721e-ufs.c:ti,j721e-ufs
drivers/net/sandbox-raw-bus.c:sandbox,eth-raw-bus
drivers/net/mvneta.c:marvell,armada-370-neta
drivers/net/mvneta.c:marvell,armada-ac5-neta
drivers/net/mvneta.c:marvell,armada-xp-neta
drivers/net/mvneta.c:marvell,armada-3700-neta
drivers/net/hifemac_mdio.c:hisilicon,hisi-femac-mdio
drivers/net/smc911x.c:smsc,lan9115
drivers/net/xilinx_axi_mrmac.c:xlnx,mrmac-ethernet-1.0
drivers/net/sun8i_emac.c:allwinner,sun8i-a83t-emac
drivers/net/sun8i_emac.c:allwinner,sun8i-h3-emac
drivers/net/sun8i_emac.c:allwinner,sun8i-r40-gmac
drivers/net/sun8i_emac.c:allwinner,sun50i-a64-emac
drivers/net/sun8i_emac.c:allwinner,sun50i-h6-emac
drivers/net/octeon/octeon_mdio.c:cavium,octeon-3860-mdio
drivers/net/mpc8xx_fec.c:fsl,pq1-fec1
drivers/net/mpc8xx_fec.c:fsl,pq1-fec2
drivers/net/tsec.c:fsl,etsec2
drivers/net/tsec.c:gianfar
drivers/net/mscc_eswitch/ocelot_switch.c:mscc,vsc7514-switch
drivers/net/dwc_eth_qos.c:nvidia,tegra186-eqos
drivers/net/dwc_eth_qos.c:st,stm32mp13-dwmac
drivers/net/dwc_eth_qos.c:st,stm32mp1-dwmac
drivers/net/dwc_eth_qos.c:nxp,imx8mp-dwmac-eqos
drivers/net/dwc_eth_qos.c:nxp,imx93-dwmac-eqos
drivers/net/dwc_eth_qos.c:rockchip,rk3568-gmac
drivers/net/dwc_eth_qos.c:rockchip,rk3588-gmac
drivers/net/dwc_eth_qos.c:qcom,qcs404-ethqos
drivers/net/dwc_eth_qos.c:starfive,jh7110-dwmac
drivers/net/sni_netsec.c:socionext,synquacer-netsec
drivers/net/cortina_ni.c:eth_cortina
drivers/net/designware.c:allwinner,sun7i-a20-gmac
drivers/net/designware.c:amlogic,meson6-dwmac
drivers/net/designware.c:st,stm32-dwmac
drivers/net/designware.c:snps,arc-dwmac-3.70a
drivers/net/designware.c:sophgo,cv1800b-dwmac
drivers/net/mdio-ipq4019.c:qcom,ipq4019-mdio
drivers/net/mvgbe.c:marvell,kirkwood-eth
drivers/net/mscc_eswitch/serval_switch.c:mscc,vsc7418-switch
drivers/net/ksz9477.c:microchip,ksz-mdio
drivers/net/ksz9477.c:microchip,ksz9897
drivers/net/ksz9477.c:microchip,ksz9477
drivers/net/ksz9477.c:microchip,ksz9567
drivers/net/ksz9477.c:microchip,ksz9893
drivers/net/npcm750_eth.c:nuvoton,npcm750-emc
drivers/net/mscc_eswitch/servalt_switch.c:mscc,vsc7437-switch
drivers/net/pic32_eth.c:microchip,pic32mzda-eth
drivers/net/mscc_eswitch/luton_switch.c:mscc,vsc7527-switch
drivers/net/fsl_mdio.c:fsl,gianfar-tbi
drivers/net/fsl_mdio.c:fsl,gianfar-mdio
drivers/net/fsl_mdio.c:fsl,etsec2-tbi
drivers/net/fsl_mdio.c:fsl,etsec2-mdio
drivers/net/fsl_mdio.c:fsl,fman-mdio
drivers/net/mscc_eswitch/jr2_switch.c:mscc,vsc7454-switch
drivers/net/ethoc.c:opencores,ethoc
